"advertiser_id","advertiser_name","advertisers_with_eligible_prices","arrival","best_price_amount","best_price_currency","best_price_eurocents","cheapest_price","city","construction_year","country","departure","distance_info","forecasted_price_amount","forecasted_price_eurocents","has_special_offer","highlights","hotel_category","hotel_id","hotel_name","latitude","longitude","review_count","star_rating","user_rating"
,,"21","2026-09-19",,,,,"London","2015",,"2026-09-20","0.7 miles to Big Ben","124","14454",,"Modern fitness studio, Vibrant Vauxhall district location",,"100/3139481","Staybridge Suites London - Vauxhall By Ihg","51.48910140991211","-0.12088999897241592","7648","4","9.4"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to City centre","75","8765",,"Riverside studios with iconic views, Unique plant buddy program",,"100/19521332","Locke at Broken Wharf","51.51066970825195","-0.09681999683380127","4077","4","8.8"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Trafalgar Square","50","5821",,"Versatile family room options, Strategic Euston Station base",,"100/921023","Travelodge London Central Euston","51.528018951416016","-0.13131000101566315","10524","2","7.6"
,,"21","2026-09-19",,,,,"London","2012",,"2026-09-20","1.0 miles to Tower Bridge","83","9700",,"Vibrant Vitra-furnished living room, South Bank cultural proximity",,"100/2288650","citizenM London Bankside","51.505088806152344","-0.09826000034809113","12550","4","8.9"
,,"19","2026-09-19",,,,,"London","1972",,"2026-09-20","0.5 miles to Hyde Park","126","14615",,"Panoramic London skyline views, Extensive 200sqm fitness studio",,"100/48099","Hilton London Metropole","51.51932144165039","-0.16952000558376312","27023","4","8.3"
,,"8","2026-09-19",,,,,"London","2014",,"2026-09-20","0.9 miles to Trafalgar Square","69","8030",,"Thyme restaurant and bar, Central Bloomsbury theatre base",,"100/3231032","Premier Inn London Holborn","51.5201301574707","-0.1173200011253357","9151","3","8.4"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","143","16691",,"Modern fitness and wellness studio, Covent Garden and museum proximity",,"100/12762","Citadines Holborn-Covent Garden London","51.51789855957031","-0.11856000125408173","7952","4","8.3"
,,"24","2026-09-19",,,,,"London","2010",,"2026-09-20","0.9 miles to Big Ben","80","9264",,"Convenient Southwark tube access, Flexible check-out options",,"100/2416802","ibis London Blackfriars","51.504940032958984","-0.10475999861955643","16882","3","8.4"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","141","16436",,"Seabird rooftop seafood restaurant, Industrial-chic factory design",,"100/12405854","The Hoxton, Southwark","51.505889892578125","-0.10486999899148941","5753","4","9.0"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","100","11692",,"Secluded rear patio garden, Flexible family and group rooms",,"100/6655138","Jesmond Hotel","51.52177047729492","-0.13203999400138855","2449","2","8.5"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to City centre","67","7840",,"Thyme restaurant and bar, Quiet urban sanctuary",,"100/13555466","Premier Inn London Farringdon (Smithfield) hotel","51.517578125","-0.10170000046491623","5199","3","8.8"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","176","20429",,"",,"100/5916038","Radisson Blu Edwardian Leicester Square","51.509971618652344","-0.12966999411582947","9","5","8.4"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Tower Bridge","20","2272",,"Southwark and Waterloo location, Adults-only accommodation",,"100/2744694","PubLove @ The Rose & Crown","51.50381851196289","-0.09480000287294388","3797","3","7.8"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Tower Bridge","90","10445",,"Modern residential-style living, Dedicated 24-hour fitness studio",,"100/5204732","Cove Cannon Street","51.512210845947266","-0.0933300033211708","2479","4","9.1"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Trafalgar Square","282","32790",,"Private Screening Room, Unique sound-buffering design",,"100/1332171","W London","51.510841369628906","-0.1314300000667572","6087","5","8.4"
,,"21","2026-09-19",,,,,"London","1967",,"2026-09-20","1.1 miles to Trafalgar Square","117","13638",,"The Artful Critic restaurant, Academy conference suites",,"100/12641","Holiday Inn London - Bloomsbury By Ihg","51.52397155761719","-0.12501999735832214","14773","4","8.2"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","1.6 miles to Trafalgar Square","50","5818",,"Historic Edwardian architecture, Strategic King's Cross hub access",,"100/46800","Travelodge London Central Kings Cross","51.53023910522461","-0.12035000324249268","6651","3","7.6"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Trafalgar Square","85","9892",,"Relaxing on-site sauna, Prime King's Cross location",,"100/46930","Jesmond Dene Hotel","51.52894973754883","-0.12324000149965286","3602","3","8.3"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Hyde Park","90","10503",,"Authentic Indian fusion dining, Basement wellness sanctuary",,"100/46353","The Chilworth London Paddington","51.515228271484375","-0.1781499981880188","12471","5","8.3"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.9 miles to City centre","67","7797",,"Panoramic London skyline views, Compact and high-tech urban concept",,"100/35836716","Hub By Premier Inn London Marylebone","51.52043151855469","-0.16527999937534332","1803","3","8.8"
,,"13","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Tower Bridge","25","2935",,"Panoramic rooftop terrace, Borough Market doorstep access",,"100/391321","St Christopher's Inn London Bridge - The Village","51.50286102294922","-0.09188999980688095","16048","2","7.6"
,,"20","2026-09-19",,,,,"London","1866",,"2026-09-20","0.4 miles to Trafalgar Square","501","58274",,"Akasha Holistic Wellbeing Centre, Two-Michelin starred French dining",,"100/1160364","Hotel Cafe Royal","51.51020050048828","-0.1363299936056137","6083","5","9.4"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.6 miles to Trafalgar Square","51","5970",,"Victorian Gothic architectural views, Authentic Italian dining",,"100/2296018","Kings Cross Inn Hotel","51.530181884765625","-0.12281999737024307","12515","3","6.0"
,,"11","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Tower Bridge","34","3960",,"Modern utilitarian high-rise stay, Proximity to the Elizabeth Line",,"100/2289816","ibis budget London Whitechapel - Brick Lane","51.51765060424805","-0.06479000300168991","8391","2","8.0"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","69","8075",,"Thyme restaurant and bar, Victorian heritage architecture",,"100/48138","Premier Inn London Victoria","51.493019104003906","-0.14295999705791473","10529","3","8.3"
,,"11","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to City centre","1223","142293",,"",,"100/42781520","The Chancery Rosewood","51.511199951171875","-0.15318000316619873","465","5","8.3"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","236","27472",,"Bamford Wellness Spa, Eco-luxury guest quarters",,"100/46240","1 Hotel Mayfair","51.5075798034668","-0.1422100067138672","2561","5","9.3"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","53","6128",,"Victoria Station transport hub access, Personalized luggage storage service",,"100/13409070","Romany House Hotel","51.49224090576172","-0.14112000167369843","993","3","7.6"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Tower Bridge","104","12117",,"Panoramic floor-to-ceiling windows, Contemporary award-winning design",,"100/844826","Marlin Apartments London Bridge - Empire Square","51.500919342041016","-0.0910400003194809","6138","4","8.1"
,,"24","2026-09-19",,,,,"London","1990",,"2026-09-20","1.0 miles to Trafalgar Square","99","11570",,"Historic Fitzrovia heritage building, Proximity to iconic London landmarks",,"100/46529","Gem Langham Court Hotel","51.51921081542969","-0.14121000468730927","4837","4","7.5"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","1.8 miles to Tower Bridge","39","4554",,"Riverside terrace dining at Columbia, Convenient on-site underground parking",,"100/13845","a&o London Docklands Riverside","51.50419998168945","-0.03386000171303749","15427","4","7.8"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Buckingham Palace","112","13020",,"Top-floor terrace views, Victorian heritage architecture",,"100/436221","St George's Hotel","51.488548278808594","-0.13933999836444855","6566","3","6.2"
,,"20","2026-09-19",,,,,"London","2015",,"2026-09-20","0.7 miles to Buckingham Palace","115","13386",,"Private Eccleston Square garden access, High-tech urban cocoon concept",,"100/1885985","Eccleston Square Hotel","51.49113845825195","-0.14497999846935272","2920","4","8.7"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Hyde Park","70","8186",,"Georgian townhouse architecture, Cycling friendly area",,"100/1344266","Amber Residence","51.51792907714844","-0.15764999389648438","1204","2","7.7"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","100","11624",,"Charming Victorian redbrick facade, Effortless transport connections",,"100/47688","voco London – Bloomsbury by IHG","51.520931243896484","-0.12317000329494476","6616","4","7.8"
,,"6","2026-09-19",,,,,"London",,,"2026-09-20","2.2 miles to City centre","69","8030",,"Panoramic city view rooms, Bar + Block Steakhouse",,"100/28108262","Premier Inn London Paddington (Paddington Basin) hotel","51.519779205322266","-0.17385999858379364","3153","3","8.0"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to Trafalgar Square","110","12825",,"Boutique 1970s-inspired design, Modern fitness studio",,"100/46552","Malmaison London","51.52080154418945","-0.1003900021314621","5974","4","8.6"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","209","24335",,"Art-centric design and curated spaces, State-of-the-art fitness center",,"100/10463334","Bankside Hotel, Autograph Collection","51.507911682128906","-0.10527999699115753","2400","4","9.6"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","69","8040",,"Purpose-built jewellery district stay, Two-story executive suites",,"100/28098462","Hatton Garden Hotel","51.51982879638672","-0.10852000117301941","2845","4","8.4"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Trafalgar Square","237","27609",,"In-room spa treatments, Unique apartment designs",,"100/47184","No.5 Maddox Street","51.51335144042969","-0.14153000712394714","1683","4","8.7"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Trafalgar Square","129","15041",,"Family-run Georgian townhouse charm, Tottenham Court Road connectivity",,"100/783266","Morgan Hotel","51.51808166503906","-0.12758000195026398","4160","3","7.8"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Buckingham Palace","137","15906",,"Sloane Square and Holy Trinity views, Library-themed elevator design",,"100/48024","Sloane Square Hotel","51.492919921875","-0.15719999372959137","5524","4","8.5"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to City centre","87","10141",,"Unwined restaurant and wine bar, Vibrant Lower Marsh Market access",,"100/10063322","Stow Away Waterloo","51.500179290771484","-0.11409000307321548","1893","3","7.6"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","104","12073",,"Eastern Mediterranean dining at Adeline, Bloomsbury Set literary heritage",,"100/12672","The Memoir Club","51.52666091918945","-0.1296200007200241","7766","4","7.9"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to City centre","47","5470",,"Traditional Georgian townhouse charm, Prime King's Cross connectivity",,"100/31657424","Argyle Square Hotel","51.528900146484375","-0.12154000252485275","3574","3","7.0"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","200","23319",,"Heated indoor basement pool, Booking Office 1869 restaurant",,"100/1715765","St. Pancras London, Autograph Collection","51.52973175048828","-0.12590999901294708","12856","5","8.5"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Hyde Park","75","8714",,"Norfolk Square garden views, Victorian townhouse heritage",,"100/149137","Tudor Court Hotel","51.51585006713867","-0.1740799993276596","6570","3","8.1"
,,"20","2026-09-19",,,,,"London","1899",,"2026-09-20","0.8 miles to Buckingham Palace","56","6512",,"Stair-access guest rooms, Traditional Victorian townhouse stay",,"100/47412","Carlton Hotel","51.49007034301758","-0.1378300040960312","2920","2","6.4"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","66","7656",,"Global entertainment technology, Whirlpool bathtub suites",,"100/5179220","The Bryson Hotel","51.522178649902344","-0.10886000096797943","1886","4","7.5"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.7 miles to City centre","103","12020",,"Chic Chelsea boutique identity, Tranquil wellness facilities",,"100/12437154","Sloane Place","51.490291595458984","-0.15719999372959137","2737","4","8.8"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to Tower Bridge","72","8379",,"Variety of dining options, Historic former choirboys' school building",,"100/672161","YHA London St Paul's","51.51314163208008","-0.10036999732255936","6014","3","8.0"
,,"23","2026-09-19",,,,,"London","2010",,"2026-09-20","1.4 miles to Buckingham Palace","81","9387",,"Glass-walled indoor swimming pool, Comprehensive thermal spa suite",,"100/787341","Pestana Chelsea Bridge","51.48149871826172","-0.14823000133037567","13194","4","8.6"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Hyde Park","130","15125",,"Steak & Lobster restaurant, In-room spa treatments",,"100/12650","Guild Hotel Marble Arch","51.51445007324219","-0.15549999475479126","6882","4","7.6"
,,"19","2026-09-19",,,,,"London","1907",,"2026-09-20","0.5 miles to Trafalgar Square","487","56637",,"Whimsical Charlie and the Chocolate Factory afternoon tea, In-house floral artistry",,"100/48162","One Aldwych","51.51179122924805","-0.11934000253677368","3204","5","9.5"
,,"15","2026-09-19",,,,,"London","2013",,"2026-09-20","1.1 miles to Big Ben","40","4654",,"Family-friendly stay policies, Convenient US Embassy proximity",,"100/2888703","Travelodge London Vauxhall","51.48558044433594","-0.12387999892234802","7945","3","7.7"
,,"19","2026-09-19",,,,,"London","1913",,"2026-09-20","0.5 miles to Buckingham Palace","160","18654",,"Madison Restaurant international dining, State-of-the-art fitness studio",,"100/46613","Washington Mayfair Hotel","51.507240295410156","-0.14608000218868256","4876","4","7.7"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","529","61562",,"Rooftop swimming pool with city views, La Môme French Riviera dining",,"100/48021","The Berkeley","51.50185012817383","-0.15605999529361725","4172","5","9.2"
,,"7","2026-09-19",,,,,"London",,,"2026-09-20","2.3 miles to City centre","67","7797",,"Modern city-hub concept, Paddington Station proximity",,"100/39096020","Premier Inn London Paddington - Paddington Station","51.51649856567383","-0.17839999496936798","1185","3","8.4"
,,"5","2026-09-19",,,,,"Camden",,,"2026-09-20","Camden, 2.2 miles to London","67","7797",,"Upper floor London skyline views, Smart-tech compact room design",,"100/36274266","Hub by Premier Inn London Camden","51.53725051879883","-0.14147000014781952","567","3","8.9"
,,"21","2026-09-19",,,,,"London","1998",,"2026-09-20","1.1 miles to Trafalgar Square","163","18971",,"Chinese Cricket Club specialty dining, Historic Bridewell Palace grounds",,"100/32783","Hyatt Regency London Blackfriars","51.5122184753418","-0.10462000221014023","3073","5","8.9"
,,"10","2026-09-19",,,,,"London",,,"2026-09-20","1.8 miles to City centre","66","7719",,"Smart-tech room control system, Exceptional King's Cross connectivity",,"100/8018182","Hub By Premier Inn London King's Cross","51.533660888671875","-0.12196999788284302","13406","3","8.8"
,,"20","2026-09-19",,,,,"London","2012",,"2026-09-20","1.6 miles to Trafalgar Square","59","6812",,"Central King's Cross transport hub, Renovated 24-hour guest lounge",,"100/2269834","Point A Hotel London Kings Cross – St Pancras","51.52885055541992","-0.11939000338315964","25006","3","8.0"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Trafalgar Square","53","6177",,"Historic Georgian townhouse charm, St Pancras International proximity",,"100/152928","Wardonia Hotel Kings Cross","51.52851104736328","-0.12320999801158905","5474","2","7.1"
,,"15","2026-09-19",,,,,"London","1867",,"2026-09-20","1.0 miles to City centre","178","20704",,"Authentic London street views, Georgian townhouse heritage stay",,"100/5522472","Ridgemount Hotel","51.521820068359375","-0.13224999606609344","6167","2","8.8"
,,"11","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","659","76662",,"Michelin-starred British cuisine, Historic Mayfair elegance",,"100/98770","Brown's Hotel","51.50912857055664","-0.14211000502109528","4356","5","9.4"
,,"22","2026-09-19",,,,,"London","1997",,"2026-09-20","1.0 miles to Big Ben","84","9822",,"Versatile family room options, Vibrant South Bank location",,"100/46832","Holiday Inn Express London - Southwark by IHG","51.50613021850586","-0.10217999666929245","12591","3","8.4"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to City centre","126","14663",,"Elizabeth Line transport links, Modernized fitness studio",,"100/35851562","Thistle London Park Lane","51.514320373535156","-0.159170001745224","4934","4","8.6"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Trafalgar Square","272","31634",,"Lavishly restored 18th-century luxury, Prime Soho location",,"100/47192","Hazlitt's","51.51435852050781","-0.13184000551700592","2851","4","9.1"
,,"22","2026-09-19",,,,,"London","1912",,"2026-09-20","0.8 miles to Buckingham Palace","634","73847",,"Seventeen-meter indoor lap pool, Two-Michelin-starred British dining",,"100/46322","Mandarin Oriental Hyde Park, London","51.50212860107422","-0.15998999774456024","4112","5","9.3"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.7 miles to City centre","154","17878",,"RAILS Restaurant and Little Bar, Off-site fitness center access",,"100/10379172","Kaya Great Northern Hotel","51.531070709228516","-0.12462999671697617","6202","5","8.7"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.7 miles to City centre","288","33512",,"Exclusive rooftop pool access, Grand Banking Hall dining",,"100/5961642","The Ned","51.51361846923828","-0.09013000130653381","11263","5","8.9"
,,"20","2026-09-19",,,,,"London","1967",,"2026-09-20","0.1 miles to Hyde Park","210","24436",,"Panoramic Hyde Park views, Award-winning Nipa Thai dining",,"100/47126","Royal Lancaster London","51.512298583984375","-0.17520000040531158","14439","5","9.4"
,,"19","2026-09-19",,,,,"London","1998",,"2026-09-20","1.4 miles to Trafalgar Square","68","7937",,"Georgian townhouse studio apartments, Euston Square transport hub access",,"100/2341022","Studios2Let - North Gower","51.527061462402344","-0.1373099982738495","6213","3","7.6"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Tower Bridge","51","5893",,"Bar 60 restaurant and lounge, Historic 18th-century building",,"100/2197824","Safestay London Elephant & Castle","51.490760803222656","-0.0976099967956543","15335","3","7.5"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","88","10211",,"Iconic London Eye city views, Victorian townhouse boutique charm",,"100/6563264","The Beverley Hotel London - Victoria","51.49225997924805","-0.14187000691890717","2670","3","8.4"
,,"9","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Trafalgar Square","141","16409",,"Boutique apartment-style living, Quiet Argyle Street sanctuary",,"100/149055","The Suites – St Pancras Hotel Group","51.52894973754883","-0.12324000149965286","1280","4","9.2"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","152","17707",,"Gourmet dining at Found, Eclectic City of London escape",,"100/27995192","Lost Property St Pauls London, Curio Collection By Hilton","51.51372146606445","-0.10107000172138214","3487","4","9.3"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Buckingham Palace","721","83861",,"Michelin-starred dining, Art collection and grand staircase",,"100/32720","The Connaught","51.510250091552734","-0.1498199999332428","4701","5","9.6"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","214","24877",,"Rooms with St Paul's Churchyard views, Henri restaurant and bar",,"100/6696124","Henrietta Experimental","51.510929107666016","-0.12376999855041504","2122","4","9.3"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Trafalgar Square","208","24210",,"Marylebone and Mayfair boutique style, In-room spa treatments",,"100/12644","Radisson Blu Hotel, London Bond Street","51.514739990234375","-0.14848999679088593","8641","4","7.7"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Tower Bridge","86","9976",,"Marco Pierre White New York Italian, Cultural Bankside flagship identity",,"100/46317","Mercure London Bankside","51.505401611328125","-0.099310003221035","5790","4","8.6"
,,"20","2026-09-19",,,,,"London","1",,"2026-09-20","1.3 miles to Trafalgar Square","85","9871",,"Piccadilly line airport access, Charming Victorian crescent setting",,"100/82542","George Hotel","51.52613830566406","-0.12635000050067902","5104","3","8.0"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Tower Bridge","107","12471",,"Iconic Shard and city views, Secure on-site private parking",,"100/46850","ibis Styles London Southwark - near Borough Market","51.505760192871094","-0.09508000314235687","10802","3","8.7"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to Trafalgar Square","68","7904",,"Victorian-style transit hub base, Secluded ground floor courtyard",,"100/12665","Crestfield Hotel","51.529788970947266","-0.1224299967288971","9080","3","7.9"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to City centre","716","83325",,"British aviation-themed rooftop, Advanced in-room technology",,"100/19141996","The Peninsula London","51.50175094604492","-0.15181000530719757","1467","5","9.4"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","2.0 miles to City centre","58","6719",,"Bright continental dining room, Victorian townhouse architecture",,"100/24788708","Alexandra Hotel","51.5146598815918","-0.1728699952363968","9816","3","6.7"
,,"8","2026-09-19",,,,,"Kensington",,,"2026-09-20","1.5 miles to Hyde Park","78","9046",,"South-facing landscaped walled garden, Victorian townhouse with modern flair",,"100/149128","The Rockwell","51.494468688964844","-0.19291000068187714","6281","4","8.5"
,,"20","2026-09-19",,,,,"London","1929",,"2026-09-20","0.8 miles to Hyde Park","299","34779",,"Sweeping Hyde Park views, Signature JW Steakhouse cheesecake",,"100/115888","JW Marriott Grosvenor House London","51.50967025756836","-0.15526999533176422","11530","5","8.8"
,,"21","2026-09-19",,,,,"London","1995",,"2026-09-20","0.8 miles to Buckingham Palace","91","10586",,"Upper floor city views, Queen Mother Sports Centre access",,"100/47505","Holiday Inn Express London - Victoria By Ihg","51.48971176147461","-0.1372399926185608","5552","3","7.7"
,,"7","2026-09-19",,,,,"London","1836",,"2026-09-20","0.7 miles to Buckingham Palace","65","7541",,"Historic Georgian townhouse setting, Exclusive Eccleston Square Garden access",,"100/46379","Jubilee Hotel Victoria","51.49140930175781","-0.14531999826431274","3938","4","8.4"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","70","8179",,"Victorian townhouse architecture, Short walk to Tate Britain",,"100/47199","Best Western Corona","51.490028381347656","-0.1369899958372116","5767","3","7.5"
,,"9","2026-09-19",,,,,"London","2004",,"2026-09-20","1.7 miles to Trafalgar Square","69","8030",,"Bar + Block King's Cross Steakhouse, Regent’s Canal and Granary Square",,"100/149090","Premier Inn London King's Cross","51.53194046020508","-0.12219999730587006","18066","3","8.4"
,,"20","2026-09-19",,,,,"London","1970",,"2026-09-20","0.7 miles to Hyde Park","229","26646",,"Michelin-starred Italian gastronomy, Sir Winston Churchill inspired design",,"100/15586","Hyatt Regency London - The Churchill","51.51554870605469","-0.15713000297546387","9662","5","8.9"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","1.8 miles to City centre","40","4654",,"Oval Cricket Ground views, Cricket-themed boutique ambiance",,"100/36914246","Travelodge London Oval Cricket Ground","51.48265075683594","-0.11372999846935272","574",,"9.1"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Big Ben",,,,"Proximity to London attractions, Shared kitchen facilities",,"100/819631","Stamford Street Apartments","51.505428314208984","-0.1117900013923645","1603","3","7.4"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Buckingham Palace","46","5399",,"Award-winning Burger Craft kitchen, Historic flat iron building",,"100/1328653","PubLove at The White Ferry Victoria","51.48902130126953","-0.14670999348163605","10003","2","7.1"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Buckingham Palace","64","7480",,"Victoria Station transport hub, Traditional English breakfast buffet",,"100/435891","Best Western Victoria Palace","51.49161911010742","-0.14154000580310822","6648","3","7.9"
,,"19","2026-09-19",,,,,"London","1991",,"2026-09-20","0.5 miles to Buckingham Palace","754","87709",,"The Lanesborough Grill, Regency-style elegance",,"100/47043","The Lanesborough, Oetker Hotels","51.50265884399414","-0.15272000432014465","2864","5","9.5"
,,"12","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","82","9535",,"Georgian-style architecture, Proximity to British Museum",,"100/40257844","The Marker Hotel","51.52157974243164","-0.13189999759197235","973","3","8.0"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","178","20746",,"Family-run Victorian boutique charm, Quiet residential Pimlico setting",,"100/46443","The Windermere Hotel, London","51.49039840698242","-0.14590999484062195","4686","4","8.9"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Big Ben","69","8030",,"Thyme bar and grill, Southwark tube station proximity",,"100/2254474","Premier Inn London Southwark (Tate Modern) hotel","51.50511169433594","-0.10102999955415726","7069","3","8.7"
,,"17","2026-09-19",,,,,"London","2012",,"2026-09-20","0.9 miles to Tower Bridge","21","2409",,"Essential budget-friendly facilities, Central Zone 1 transport links",,"100/2381174","Rest Up London","51.49399185180664","-0.09068000316619873","8873","2","6.5"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre",,,,"",,"100/9319962","Kings Cross Central London Location","51.52513122558594","-0.12803000211715698","3822","2","7.7"
,,"7","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","69","8030",,"Thyme bar and grill, Strategic transport hub location",,"100/149087","Premier Inn London Euston","51.527610778808594","-0.1292099952697754","16644","3","8.0"
,,"23","2026-09-19",,,,,"London","2000",,"2026-09-20","0.5 miles to Tower Bridge","102","11881",,"Relaxing sauna and hammam, Family-friendly perks and play area",,"100/47597","Novotel London Tower Bridge","51.5107307434082","-0.07733000069856644","12701","4","8.8"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","305","35484",,"Gourmet Grill 88 steakhouse, Stately Grosvenor Square residence",,"100/47122","The Biltmore Mayfair","51.510799407958984","-0.15112000703811646","2722","5","8.7"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","2.2 miles to City centre","45","5236",,"Tower Bridge skyline views, Contemporary Bermondsey base",,"100/36634420","Travelodge London Bermondsey","51.49993896484375","-0.07690999656915665","438",,"8.5"
,,"23","2026-09-19",,,,,"London","1936",,"2026-09-20","1.4 miles to Trafalgar Square","175","20426",,"Arado Mediterranean restaurant, 24-hour designer fitness studio",,"100/3755574","The Level at Melia White House","51.52553176879883","-0.14361999928951263","2237","5","8.9"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.8 miles to Trafalgar Square","106","12325",,"Marco Pierre White Steakhouse, Secure on-site private parking",,"100/47115","DoubleTree by Hilton London Angel Kings Cross","51.53205108642578","-0.10955999791622162","14345","4","8.4"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to Trafalgar Square","65","7591",,"Versatile room configurations, Argyle Square garden views",,"100/46408","Macdonald Hotel","51.52915954589844","-0.12302999943494797","4116","2","7.9"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","101","11754",,"Victoria Station transport hub access, Renovated Georgian townhouse charm",,"100/18423","Comfort Inn Victoria","51.49309158325195","-0.14428000152111053","6192","3","6.6"
,,"2","2026-09-19",,,,,"London","2006",,"2026-09-20","1.5 miles to Hyde Park","68","7920",,"Earl's Court transport links, Historic townhouse architecture",,"100/152887","The Resident Kensington","51.49309158325195","-0.19008000195026398","2298","4","8.5"
